,1. open,2. high,3. low,4. close,5. volume
2023-10-20,21.4200,22.1900,21.0900,21.5300,565593090
2023-09-28,22.3200,22.7800,21.6500,21.6600,1514776580
2023-08-31,23.9000,26.1000,22.1800,22.2000,4897192260
2023-07-31,19.8000,24.8700,19.7800,24.1000,2073514990
2023-06-30,20.0500,20.4300,19.2800,19.7800,1264484800
2023-05-31,21.0200,23.9100,19.9500,20.0500,2328922840
2023-04-28,20.4800,21.9200,20.4700,21.0200,1644703820
2023-03-31,20.6100,21.2300,19.6900,20.4800,1323718030
2023-02-28,21.4900,22.4900,20.2300,20.6500,1337743420
2023-01-31,19.9100,22.2900,19.3600,21.4100,1276751940
2022-12-30,20.1800,21.2600,19.5600,19.9100,1453412660
2022-11-30,17.2800,20.0900,17.2600,19.8200,1570719960
2022-10-31,17.2800,18.5500,17.0400,17.2100,881776370
2022-09-30,19.3800,20.0000,17.3200,17.4200,1227924990
2022-08-31,19.5500,20.2800,18.6000,19.5200,1455332120
2022-07-29,21.7000,21.7400,19.5700,19.6000,1334590710
2022-06-30,19.8000,22.7500,19.3400,21.6600,2986283180
2022-05-31,19.6900,19.8600,18.4800,19.7900,1215588770
2022-04-29,20.7100,21.4000,18.0100,19.6900,1777039080
2022-03-31,23.3800,23.4600,19.3800,20.9000,2412643240
2022-02-28,24.6000,26.1700,23.0100,23.3300,1337717450
2022-01-28,26.4100,26.8400,23.8800,24.6000,1475645690
2021-12-31,23.7000,27.2700,23.6500,26.4100,2211520350
2021-11-30,25.8000,26.1000,23.6200,23.7700,1757377370
2021-10-29,25.2800,26.1400,24.4100,25.8800,1151726500
2021-09-30,25.7000,28.2300,25.0700,25.2800,3114748910
2021-08-31,22.5800,26.1300,22.0700,25.6800,3055117270
2021-07-30,25.2500,25.3500,22.4700,22.5900,1877145880
2021-06-30,25.9900,26.6000,24.3600,24.9400,1934892740
2021-05-31,23.8500,26.5600,23.2700,26.1100,2310162630
2021-04-30,23.8900,24.5800,22.5900,23.8500,1386384350
2021-03-31,26.3000,26.3000,23.1500,23.8900,2282654620
2021-02-26,28.4900,28.7500,26.5700,27.2500,1828508140
2021-01-29,29.4000,32.2100,28.0000,28.3500,4155442070
2020-12-31,30.2100,31.6500,27.7000,29.4000,2317116870
2020-11-30,28.4500,31.5000,27.6200,30.3000,2124825140
2020-10-30,30.0300,31.8500,28.5500,28.6300,1457501510
2020-09-30,31.6100,32.3200,29.2800,30.0300,2357992980
2020-08-31,30.3100,34.3500,29.4900,31.8000,5000238500
2020-07-31,24.1000,34.2400,23.9300,29.9600,9366387670
2020-06-30,22.8100,24.9900,22.4000,24.1100,2355230720
2020-05-29,23.7000,24.0300,22.0800,22.2700,1335387020
2020-04-30,22.0900,24.0000,22.0000,23.7000,2161088430
2020-03-31,23.8000,26.3300,21.4100,22.1600,4128353050
2020-02-28,21.5100,25.9900,20.7800,23.4000,4777374750
2020-01-31,25.3000,26.1400,23.6200,23.9000,3011321310
2019-12-31,21.9000,25.7200,21.4800,25.3000,3345102110
2019-11-29,21.6600,23.1000,21.2300,21.4100,1347120540
2019-10-31,22.4800,23.4500,21.5100,21.7000,1257514300
2019-09-30,22.3300,24.9000,22.2600,22.4800,2615032990
2019-08-30,23.0900,23.1900,20.1600,22.3200,2280515400
2019-07-31,24.6600,24.7800,22.7100,23.2300,2386440260
2019-06-28,20.2900,24.2700,19.7100,23.8100,3005977580
2019-05-31,23.0400,23.0400,19.4500,20.1300,2714942060
2019-04-30,24.7700,26.4200,22.7200,23.0400,4441530620
2019-03-29,23.7500,27.8800,22.4500,24.7800,7290565730
2019-02-28,18.6000,26.3800,18.4200,23.5100,3702073140
2019-01-31,16.0100,18.4200,16.0100,18.2600,1713151000
2018-12-31,17.8000,17.8300,15.8800,16.0100,1255062900
2018-11-30,17.5400,18.2900,16.4600,16.8700,2952401810
2018-10-31,16.6900,17.7900,14.7200,17.1600,2367065110
2018-09-28,15.9500,16.8700,15.3700,16.6900,1073619260
2018-08-31,16.9500,17.1000,15.5900,15.9800,1338501960
2018-07-31,16.5000,17.7000,15.6800,16.8600,1672246770
2018-06-29,18.5000,19.2900,15.9000,16.5700,1518637010
2018-05-31,18.9900,20.0400,18.0300,18.6400,1988397330
2018-04-30,18.7600,19.8200,18.2500,18.9900,2269595470
2018-03-30,17.8900,19.4300,17.4500,18.5800,2698269820
2018-02-28,21.4000,21.8600,17.1200,18.1100,3146903800
2018-01-31,18.1000,22.9500,18.1000,21.2900,5303857100
2017-12-29,19.1200,19.5500,17.7800,18.1000,2090039550
2017-11-30,17.3600,19.9500,16.9400,19.1900,3818372490
2017-10-31,18.1900,18.7600,17.1800,17.3200,1122705220
2017-09-29,18.2600,18.5000,17.6600,18.1900,1821507880
2017-08-31,17.3800,18.5200,16.6000,18.2300,2574364800
2017-07-31,17.0000,17.8300,16.6000,17.3500,2357702660
2017-06-30,16.4200,17.4100,16.1300,17.0200,1783612400
2017-05-31,16.2300,16.7600,15.2500,16.4400,1169807900
2017-04-28,16.1100,16.4900,15.8600,16.2300,919869990
2017-03-31,16.5500,16.7700,15.9900,16.1100,1121303810
2017-02-28,16.4800,17.1000,16.1900,16.5500,1157369130
2017-01-31,16.0600,16.5900,15.9700,16.4800,1012580520
2016-12-30,17.6900,17.9300,15.7800,16.0600,1912236800
2016-11-30,16.6300,18.2900,16.5000,17.7500,3479264580
2016-10-31,16.1200,17.2800,16.1200,16.6100,1106045080
2016-09-30,16.8600,16.9800,15.8600,16.1200,1185013230
2016-08-31,16.2600,18.7200,16.0000,16.9000,2203588140
2016-07-29,16.3000,17.3000,16.0100,16.2200,1874083790
2016-06-30,16.7900,16.8800,15.3700,16.2300,1471710160
2016-05-31,16.4400,16.9800,15.1600,16.7900,1545398600
2016-04-29,17.7000,18.2800,16.3000,16.4400,2352153720
2016-03-31,14.4000,18.6500,14.3000,17.8000,5376054030
2016-02-29,14.3500,15.8600,13.6000,14.2800,2087913350
2016-01-29,19.3500,19.3500,13.4500,14.5000,3726684500
2015-12-31,17.6300,21.9200,17.4000,19.3500,5505747550
2015-11-30,15.5500,22.1400,15.4800,17.6300,9244794710
2015-10-30,13.5800,16.6800,13.5800,15.8700,4284228790
2015-09-30,14.6000,15.7900,12.8400,13.5800,4338872800
2015-08-31,20.3000,22.9600,14.0800,15.0700,6205129360
2015-07-31,26.6000,28.5600,19.9600,20.7900,8907601320
2015-06-30,30.3800,34.2900,23.4300,26.9100,7378684040
2015-05-29,34.3600,35.2900,29.7900,30.3700,7096214230
2015-04-30,32.9500,38.4000,32.8600,34.3600,11083311030
2015-03-31,30.1200,34.9600,26.8000,32.8200,9259946750
2015-02-27,27.0000,30.1800,26.6900,29.5300,5559772750
2015-01-30,33.9000,37.2500,26.6600,27.8600,12230890190
2014-12-31,17.4400,35.3600,17.0100,33.9000,20614763960
2014-11-28,13.3500,17.6500,13.0300,17.2600,8311124870
2014-10-31,13.3200,13.5300,12.2500,13.2700,2645281270
2014-09-30,12.9000,13.8900,12.7900,13.3200,2755685890
2014-08-29,13.1200,13.6600,12.5500,12.8900,2569920350
2014-07-31,11.5000,13.5000,11.3500,13.1600,2268805050
2014-06-30,11.3200,11.7000,11.1300,11.4600,1194128940
2014-05-30,11.3900,12.1000,11.0000,11.3200,1509735
2014-04-30,10.5500,12.6900,10.5100,11.3900,2730007
2014-03-31,10.7300,10.9500,9.9700,10.5300,1519728
2014-02-28,11.5800,12.1500,10.2100,10.8300,1571461
2014-01-31,12.7500,12.7500,11.3400,11.5800,1390532
2013-12-31,13.3500,13.8400,12.1000,12.7500,2379614
2013-11-29,11.8800,13.1400,10.7600,12.9000,2715818
2013-10-31,12.2900,12.6400,11.5500,11.8500,1639680
2013-09-30,11.0300,13.8500,10.9100,12.2900,3063991
2013-08-30,10.7800,12.2700,10.3000,11.0300,2125140
2013-07-31,10.2800,11.2900,9.7700,10.6500,1897372
2013-06-28,12.9900,13.2300,9.2900,10.1300,1640132
2013-05-31,12.4200,13.4300,12.1200,12.9900,2064951
2013-04-30,12.1600,12.9500,11.5000,12.4200,1590657
2013-03-29,14.6700,14.8700,12.0900,12.1700,2635151
2013-02-28,15.0600,15.9700,13.4500,14.6500,2053527
2013-01-31,13.3600,15.5000,12.5800,15.1800,2705409
2012-12-31,9.9700,13.3800,9.9000,13.3600,2084535
2012-11-30,10.9100,11.3800,9.5400,10.0100,1021597
2012-10-31,11.7900,11.9500,10.6900,10.8900,838850
2012-09-28,10.1500,11.8100,10.1100,11.7900,1306168
2012-08-31,12.2500,12.5300,9.9900,10.2200,1236169
2012-07-31,12.6100,13.2400,12.0200,12.2200,1158278
2012-06-29,13.7700,13.9900,11.9700,12.6300,1188620
2012-05-31,13.0000,13.9400,12.7100,13.7700,2149489
2012-04-30,11.5900,13.7000,11.5400,13.0000,2045295
2012-03-30,11.7200,12.7300,11.1600,11.5900,1725245
2012-02-29,10.6600,12.1800,10.4000,11.8000,1434682
2012-01-31,9.7100,11.0900,9.0400,10.6900,807171
2011-12-30,11.3000,11.4000,9.4700,9.7100,850997
2011-11-30,11.9000,12.6300,10.6700,10.7400,1107714
2011-10-31,11.2500,12.4300,10.9700,12.0000,1068209
2011-09-30,12.2100,12.7400,11.1500,11.2500,1147186
2011-08-31,12.3100,12.6700,11.1000,12.1700,1261618
2011-07-29,13.1200,13.7000,12.0400,12.3700,1323308
2011-06-30,12.7500,13.4500,11.7200,13.0800,1288750
2011-05-31,13.2300,13.4000,12.2200,12.8500,1123329
2011-04-29,13.9800,15.1000,13.1900,13.2300,1607279
2011-03-31,14.6700,15.5600,13.6800,13.9700,2515059
2011-02-28,12.5700,14.8500,12.1900,14.7100,2247971
2011-01-31,12.5900,13.0700,11.5600,12.5400,1384029
2010-12-31,12.8300,13.8400,12.0100,12.5900,2017042
2010-11-30,15.4800,16.8900,12.2900,12.8200,3485383
2010-10-29,10.6400,17.2500,10.6400,15.5100,4913630
2010-09-30,11.7400,12.0600,10.4200,10.6400,1390771
2010-08-31,12.8200,13.3800,11.6500,11.7200,1595172
2010-07-30,11.7200,13.1500,11.1800,12.8200,1552499
2010-06-30,19.6500,21.1400,11.5300,11.7000,838410
2010-05-31,28.9400,28.9400,18.8500,19.8000,1476131
2010-04-30,28.4500,29.2700,27.6600,28.9400,703049
2010-03-31,27.3000,28.9300,26.6000,28.4200,1468070
2010-02-26,27.9000,27.9000,25.9000,27.3200,980414
2010-01-29,31.7700,35.4900,28.0000,28.2800,2604001
2009-12-31,29.0400,32.3500,28.0300,31.7700,2457766
2009-11-30,26.1900,31.4800,26.0100,29.1900,2303806
2009-10-30,25.0100,29.2900,25.0100,27.0300,1490718
2009-09-30,24.4500,28.5700,24.0500,25.0100,2329238
2009-08-31,38.6000,38.8000,24.4500,24.5000,3034083
2009-07-31,28.0000,38.5500,27.9200,38.0300,3949661
2009-06-30,25.6900,30.1400,25.6100,28.2600,3027202
2009-05-29,24.2500,26.7200,24.1600,25.4300,2091474
2009-04-30,25.6600,27.6900,23.6200,24.2500,2549862
2009-03-31,21.1500,25.8200,20.5100,25.4700,2616211
2009-02-27,21.9200,27.1800,20.9700,21.3700,2774647
2009-01-30,17.9700,22.1900,17.9700,21.7700,1430687
2008-12-31,19.6500,22.9500,17.9400,17.9700,2687233
2008-11-28,17.2500,21.1900,15.9500,19.5600,3304327
2008-10-31,24.7600,24.7600,17.0800,17.8400,3162669
2008-09-30,19.8000,24.9200,15.4200,24.7600,2384932
2008-08-29,22.3000,23.8800,16.1200,20.1100,1659449
2008-07-31,23.9200,26.1400,20.2700,22.6000,2028282
2008-06-30,33.9800,34.6500,22.7100,23.9200,1862564
2008-05-30,39.6400,43.0000,31.4000,34.2400,2432606
2008-04-30,51.5100,60.6800,32.1300,39.6400,1829701
2008-03-31,61.6000,66.5800,49.7100,52.5000,796209
2008-02-29,68.4500,75.5800,57.9000,62.8600,485272
2008-01-31,89.2700,98.8800,63.9500,68.1200,797761
2007-12-31,82.9000,93.8400,78.8800,89.2700,371521
2007-11-30,105.9300,117.8900,80.0000,83.8900,498155
2007-10-31,96.7100,116.3800,96.0000,105.9300,220862
2007-09-28,89.0000,97.0000,79.3000,96.7100,530500
2007-08-31,66.2000,98.5000,61.2400,88.9900,603390
2007-07-31,53.0900,68.1000,49.0000,65.6300,522870
2007-06-29,55.5500,63.6700,50.6000,52.9700,654149
2007-05-31,59.0600,66.0000,51.8400,54.0800,783656
2007-04-30,43.5000,59.0700,43.5000,59.0600,770956
2007-03-30,36.7500,44.6500,34.3000,43.0800,575003
2007-02-28,34.8100,42.7000,30.1000,37.1100,450100
